full_name,party,elec_year,cand_id,occupation_number,occupation,original_matched_kldb_title,matched_kldb_code,isco08_code_1,isco08_code_2,isco08_code_3,isco08_code_4,isco08_code_5,list_state,list_rank,elec_district,direct_cand,list_cand,is_legislator,is_only_legislator,is_duplicated_cand
"ABEGG, FRIEDRICH",spd,1980,"ABEGG, FRIEDRICH_spd_1980_1",occ_1,gewerkschaftssekretär,gewerkschaftssekretär,71224,1114,NA,NA,NA,NA,NI,81,NA,0,1,FALSE,FALSE,FALSE
"ABELEIN, PROF. DR. MANFRED",cdu_csu,1980,"ABELEIN, PROF. DR. MANFRED_cdu_csu_1980_1",occ_1,universitätsprofessor,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,1,0,TRUE,FALSE,FALSE
"ACHTERBERG, GERD-MANFRED",fdp,1980,"ACHTERBERG, GERD-MANFRED_fdp_1980_1",occ_1,rechtsanwalt,rechtsanwalt rechtsanwältin,73134,2611,NA,NA,NA,NA,NA,NA,6,1,0,FALSE,FALSE,FALSE
"ADAM, WILFRID",spd,1980,"ADAM, WILFRID_spd_1980_1",occ_1,stadtjugendpfleger,stadtjugendpfleger,83124,2635,NA,NA,NA,NA,NI,47,NA,0,1,FALSE,FALSE,FALSE
"ADAM-SCHWAETZER, DR. IRMGARD",fdp,1980,"ADAM-SCHWAETZER, DR. IRMGARD_fdp_1980_1",occ_1,apothekerin,apothekerin,81804,2262,NA,NA,NA,NA,NW,14,56,1,1,FALSE,FALSE,FALSE
"ADERHOLD, HANS-JOACHIM",greens,1980,"ADERHOLD, HANS-JOACHIM_greens_1980_1",occ_1,diplom ingenieur,NA,NA,NA,NA,NA,NA,NA,BW,10,168,1,1,FALSE,FALSE,FALSE
"ADOLPH, KARLHEINZ WILHELM",fdp,1980,"ADOLPH, KARLHEINZ WILHELM_fdp_1980_1",occ_1,rundfunksprecher,rundfunksprecher,94334,2656,NA,NA,NA,NA,HE,53,NA,0,1,FALSE,FALSE,FALSE
"AERSSEN, DR. JOCHEN VAN",cdu_csu,1980,"AERSSEN, DR. JOCHEN VAN_cdu_csu_1980_1",occ_1,rechtsanwalt,rechtsanwalt rechtsanwältin,73134,2611,NA,NA,NA,NA,NA,NA,81,1,0,FALSE,FALSE,FALSE
"AERSSEN, DR. JOCHEN VAN",cdu_csu,1980,"AERSSEN, DR. JOCHEN VAN_cdu_csu_1980_1",occ_2,diplom volkswirt,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,1,0,FALSE,FALSE,FALSE
"AGRICOLA, GISELA CHRISTA MINNA",spd,1980,"AGRICOLA, GISELA CHRISTA MINNA_spd_1980_1",occ_1,hausfrau,NA,NA,NA,NA,NA,NA,NA,HE,52,NA,0,1,FALSE,FALSE,FALSE
"AHRENS, DR. KARL",spd,1980,"AHRENS, DR. KARL_spd_1980_1",occ_1,ministerialdirigent,ministerialdirigent,73294,1112,NA,NA,NA,NA,NI,5,30,1,1,TRUE,TRUE,FALSE
"ALBES, WOLF-DIETRICH",greens,1980,"ALBES, WOLF-DIETRICH_greens_1980_1",occ_1,student,NA,NA,NA,NA,NA,NA,NA,BY,54,NA,0,1,FALSE,FALSE,FALSE
"ALBRECHT, DR. DIETMAR",fdp,1980,"ALBRECHT, DR. DIETMAR_fdp_1980_1",occ_1,dozent,dozent erwachsenenbildung,84404,2320,NA,NA,NA,NA,NA,NA,1,1,0,FALSE,FALSE,FALSE
"ALEX, DR. ING. WULF",fdp,1980,"ALEX, DR. ING. WULF_fdp_1980_1",occ_1,ingenieur,ingenieur,26304,2152,2151,NA,NA,NA,BW,36,176,1,1,FALSE,FALSE,FALSE
"ALLENDORF, VOLKER",spd,1980,"ALLENDORF, VOLKER_spd_1980_1",occ_1,lehrer,lehrer,84124,2330,NA,NA,NA,NA,HE,75,NA,0,1,FALSE,FALSE,FALSE
"ALLER, HEINRICH",spd,1980,"ALLER, HEINRICH_spd_1980_1",occ_1,lehrer,lehrer,84124,2330,NA,NA,NA,NA,NI,50,NA,0,1,FALSE,FALSE,FALSE
"ALTEKRUSE, WILHELM DIETRICH",fdp,1980,"ALTEKRUSE, WILHELM DIETRICH_fdp_1980_1",occ_1,architekt,architekt,31114,2161,NA,NA,NA,NA,NW,45,114,1,1,FALSE,FALSE,FALSE
"ALTHAMMER, DR. WALTER",cdu_csu,1980,"ALTHAMMER, DR. WALTER_cdu_csu_1980_1",occ_1,rechtsanwalt,rechtsanwalt rechtsanwältin,73134,2611,NA,NA,NA,NA,NA,NA,239,1,0,FALSE,FALSE,FALSE
"ALTMAIER, PETER",cdu_csu,1980,"ALTMAIER, PETER_cdu_csu_1980_1",occ_1,student,NA,NA,NA,NA,NA,NA,NA,SL,26,NA,0,1,FALSE,FALSE,FALSE
"AMLING, MAX",spd,1980,"AMLING, MAX_spd_1980_1",occ_2,dgb kreisvorsitzender,NA,NA,NA,NA,NA,NA,NA,BY,15,238,1,1,TRUE,FALSE,FALSE
"ANDELFINGER, CHRISTIAN",greens,1980,"ANDELFINGER, CHRISTIAN_greens_1980_1",occ_1,lehrer,lehrer,84124,2330,NA,NA,NA,NA,NA,NA,196,1,0,FALSE,FALSE,FALSE
"ANGERMEYER, JOACHIM",fdp,1980,"ANGERMEYER, JOACHIM_fdp_1980_1",occ_1,kaufmann,kaufmann frau außenhandel,61212,5223,NA,NA,NA,NA,NA,NA,32,1,0,FALSE,FALSE,FALSE
"ANTONY, MECHTHILD",fdp,1980,"ANTONY, MECHTHILD_fdp_1980_1",occ_1,studienrätin,NA,NA,NA,NA,NA,NA,NA,RP,6,NA,0,1,FALSE,FALSE,FALSE
"ANTRETTER, ROBERT",spd,1980,"ANTRETTER, ROBERT_spd_1980_1",occ_1,leitender landesgeschäftsführer,NA,NA,NA,NA,NA,NA,NA,BW,18,173,1,1,FALSE,FALSE,FALSE
"APEL, DR. HANS",spd,1980,"APEL, DR. HANS_spd_1980_1",occ_1,verteidigung,NA,NA,NA,NA,NA,NA,NA,HH,3,15,1,1,TRUE,TRUE,FALSE
"APEL, HELMUT",spd,1980,"APEL, HELMUT_spd_1980_1",occ_1,bundesbahnbeamter,NA,NA,NA,NA,NA,NA,NA,HE,39,NA,0,1,FALSE,FALSE,FALSE
"APENBURG, TANIA",greens,1980,"APENBURG, TANIA_greens_1980_1",occ_1,schülerin,NA,NA,NA,NA,NA,NA,NA,SH,7,NA,0,1,FALSE,FALSE,FALSE
"ARLT, GERD",fdp,1980,"ARLT, GERD_fdp_1980_1",occ_1,lehrer,lehrer,84124,2330,NA,NA,NA,NA,NA,NA,86,1,0,FALSE,FALSE,FALSE
"ARNING, HERMAN FERDINAND",fdp,1980,"ARNING, HERMAN FERDINAND_fdp_1980_1",occ_1,rechtsanwalt,rechtsanwalt rechtsanwältin,73134,2611,NA,NA,NA,NA,HH,9,NA,0,1,FALSE,FALSE,FALSE
"ARNOLD, DR. GOTTFRIED",cdu_csu,1980,"ARNOLD, DR. GOTTFRIED_cdu_csu_1980_1",occ_1,rechtsanwalt,rechtsanwalt rechtsanwältin,73134,2611,NA,NA,NA,NA,NW,49,74,1,1,TRUE,FALSE,FALSE
"ARNOLD, DR. MICHAEL",cdu_csu,1980,"ARNOLD, DR. MICHAEL_cdu_csu_1980_1",occ_1,regierungsrat,NA,NA,NA,NA,NA,NA,NA,BW,9,NA,0,1,FALSE,FALSE,FALSE
"AROLD, ANTJE",spd,1980,"AROLD, ANTJE_spd_1980_1",occ_1,amtsjuristin,NA,NA,NA,NA,NA,NA,NA,HE,40,NA,0,1,FALSE,FALSE,FALSE
"ASSMANN, HEINZ OTTO",spd,1980,"ASSMANN, HEINZ OTTO_spd_1980_1",occ_1,bezirksleiter,bezirksleiter,61194,1324,1221,NA,NA,NA,NW,37,NA,0,1,FALSE,FALSE,FALSE
"AUCH, DIETER",spd,1980,"AUCH, DIETER_spd_1980_1",occ_1,werkzeugmacher,werkzeugmacher,24522,7222,NA,NA,NA,NA,BW,25,166,1,1,FALSE,FALSE,FALSE
"AUGUSTIN, ANNELIESE",cdu_csu,1980,"AUGUSTIN, ANNELIESE_cdu_csu_1980_1",occ_1,apothekerin,apothekerin,81804,2262,NA,NA,NA,NA,HE,23,NA,0,1,FALSE,FALSE,FALSE
"AUHAGEN, FRIEDRICH-HENDRIK",greens,1980,"AUHAGEN, FRIEDRICH-HENDRIK_greens_1980_1",occ_1,doktorand,doktorand,84304,2310,NA,NA,NA,NA,NA,NA,191,1,0,FALSE,FALSE,FALSE
"AUSSENHOFER, WALTER",greens,1980,"AUSSENHOFER, WALTER_greens_1980_1",occ_1,student,NA,NA,NA,NA,NA,NA,NA,BY,37,237,1,1,FALSE,FALSE,FALSE
"BAACK, HERBERT",spd,1980,"BAACK, HERBERT_spd_1980_1",occ_1,oberwerkmeister,oberwerkmeister,27393,3122,NA,NA,NA,NA,NA,NA,111,1,0,FALSE,FALSE,FALSE
"BACHMAIER, HERMANN",spd,1980,"BACHMAIER, HERMANN_spd_1980_1",occ_1,rechtsanwalt,rechtsanwalt rechtsanwältin,73134,2611,NA,NA,NA,NA,BW,27,172,1,1,FALSE,FALSE,FALSE
"BACHMEIER, URSULA MARIA",cdu_csu,1980,"BACHMEIER, URSULA MARIA_cdu_csu_1980_1",occ_1,verwaltungsangestellte,verwaltungsangestellte r gehobener dienst,73203,3354,3359,3343,NA,NA,HE,37,NA,0,1,FALSE,FALSE,FALSE
"BACKES, ALBERT",spd,1980,"BACKES, ALBERT_spd_1980_1",occ_1,regierungsangestellter,NA,NA,NA,NA,NA,NA,NA,SL,8,NA,0,1,FALSE,FALSE,FALSE
"BAEDER, WOLFGANG",fdp,1980,"BAEDER, WOLFGANG_fdp_1980_1",occ_1,major bundeswehr,NA,NA,NA,NA,NA,NA,NA,BY,39,232,1,1,FALSE,FALSE,FALSE
"BAEHR, PROF.DR. PETER GOTTFRIED",fdp,1980,"BAEHR, PROF.DR. PETER GOTTFRIED_fdp_1980_1",occ_1,hauptamtlicher beigeordneter,NA,NA,NA,NA,NA,NA,NA,SL,3,244,1,1,FALSE,FALSE,FALSE
"BAHR, EGON KARL-HEINZ",spd,1980,"BAHR, EGON KARL-HEINZ_spd_1980_1",occ_1,bundesgeschäftsführer,NA,NA,NA,NA,NA,NA,NA,SH,1,1,1,1,FALSE,FALSE,FALSE
"BALKHAUS, PAUL",fdp,1980,"BALKHAUS, PAUL_fdp_1980_1",occ_1,landesinnungsmeister,NA,NA,NA,NA,NA,NA,NA,HE,71,NA,0,1,FALSE,FALSE,FALSE
"BALKOWSKI, LIESEL",fdp,1980,"BALKOWSKI, LIESEL_fdp_1980_1",occ_1,innenarchitektin,NA,NA,NA,NA,NA,NA,NA,HE,43,NA,0,1,FALSE,FALSE,FALSE
"BALSER, DR. FROLINDE",spd,1980,"BALSER, DR. FROLINDE_spd_1980_1",occ_1,wissenschaftliche mitarbeiterin,NA,NA,NA,NA,NA,NA,NA,HE,24,NA,0,1,TRUE,FALSE,FALSE
"BAMBERG, GEORG",spd,1980,"BAMBERG, GEORG_spd_1980_1",occ_1,bundesbahnamtmann,NA,NA,NA,NA,NA,NA,NA,BY,31,209,1,1,FALSE,FALSE,FALSE
"BANGE, KLAUS-DIETER",spd,1980,"BANGE, KLAUS-DIETER_spd_1980_1",occ_1,student,NA,NA,NA,NA,NA,NA,NA,NI,80,NA,0,1,FALSE,FALSE,FALSE
"BANZER, JUERGEN",cdu_csu,1980,"BANZER, JUERGEN_cdu_csu_1980_1",occ_1,student,NA,NA,NA,NA,NA,NA,NA,HE,90,NA,0,1,FALSE,FALSE,FALSE
"BARD, DR. SABINE",greens,1980,"BARD, DR. SABINE_greens_1980_1",occ_1,tierärztin,NA,NA,NA,NA,NA,NA,NA,BY,38,NA,0,1,FALSE,FALSE,FALSE
"BARDENS, DR. HANS",spd,1980,"BARDENS, DR. HANS_spd_1980_1",occ_1,arzt,arzt ärztin,81404,2211,NA,NA,NA,NA,RP,6,157,1,1,TRUE,FALSE,FALSE
"BARTH, HERBERT",spd,1980,"BARTH, HERBERT_spd_1980_1",occ_1,regierungsamtmann,NA,NA,NA,NA,NA,NA,NA,NI,46,NA,0,1,FALSE,FALSE,FALSE
"BARTH, MARGARETA",cdu_csu,1980,"BARTH, MARGARETA_cdu_csu_1980_1",occ_1,rechtsreferendarin,NA,NA,NA,NA,NA,NA,NA,BW,18,NA,0,1,FALSE,FALSE,FALSE
"BARTMANN, BERNHARD RICHARD ARNOLD",greens,1980,"BARTMANN, BERNHARD RICHARD ARNOLD_greens_1980_1",occ_1,sonderschullehrer,sonderschullehrer,84134,2352,NA,NA,NA,NA,BY,34,NA,0,1,FALSE,FALSE,FALSE
"BARTZ, RALF",fdp,1980,"BARTZ, RALF_fdp_1980_1",occ_1,beamter,beamter beamtin fernmeldeaufklärung mittl dienst,26312,7422,NA,NA,NA,NA,NA,NA,111,1,0,FALSE,FALSE,FALSE
"BARZ, HORST",fdp,1980,"BARZ, HORST_fdp_1980_1",occ_1,realschulkonrektor,NA,NA,NA,NA,NA,NA,NA,SH,7,4,1,1,FALSE,FALSE,FALSE
"BASELER, ILSE",cdu_csu,1980,"BASELER, ILSE_cdu_csu_1980_1",occ_1,hausfrau,NA,NA,NA,NA,NA,NA,NA,HH,12,NA,0,1,FALSE,FALSE,FALSE
"BAUCKMANN, HEINZ UDO PAUL JOSEF",cdu_csu,1980,"BAUCKMANN, HEINZ UDO PAUL JOSEF_cdu_csu_1980_1",occ_1,steueramtmann,NA,NA,NA,NA,NA,NA,NA,NW,80,NA,0,1,FALSE,FALSE,FALSE
"BAUER, DR. ERNST WALDEMAR",fdp,1980,"BAUER, DR. ERNST WALDEMAR_fdp_1980_1",occ_1,professor,professor hochschulen,84304,2310,NA,NA,NA,NA,BW,33,165,1,1,FALSE,FALSE,FALSE
"BAUER, REINHARD",cdu_csu,1980,"BAUER, REINHARD_cdu_csu_1980_1",occ_1,einzelhandelskaufmann,einzelhandelskaufmann frau,62102,5223,NA,NA,NA,NA,BW,23,NA,0,1,FALSE,FALSE,FALSE
"BAUER, RUTH MAGDALENA",cdu_csu,1980,"BAUER, RUTH MAGDALENA_cdu_csu_1980_1",occ_1,hausfrau,NA,NA,NA,NA,NA,NA,NA,BY,27,NA,0,1,FALSE,FALSE,FALSE
