original_occupation,original_matched_kldb_title,similarity_score
kinderarzt,kinderarzt ärztin,99.99995
fachkraft qualitätsmanagement,fachkraft sportmanagement,99.999994
versicherungsfachwirt,versicherungs und finanzfachwirt,99.999946
steuerrat,steuerassistent,99.99708000000001
informatik betriebswirt,informatik betriebswirt vwa,99.99997
verkaufleiterin,verkaufsleiterin,99.99986
internationale beziehungen,internationale r management assistent,99.99993
wirtschaftsjuristin,wirtschafts und arbeitsjuristin,99.99992
steuerfachangestellter,steuerfachangestellte r,99.990404
einrichtungsleiter,einrichtungsleiter altenheim,99.99996
augenoptikerin,augenoptikerin fs,99.999976
hauswirtschaftsleiterin,hauswirtschaftliche r betriebsleiterin,99.999976
kraftwerkstechnik,kraftwerker maschinentechnik,99.99991700000001
luftverkehrskaufmann,luftverkehrskaufmann frau,99.999946
kraftfahrzeugmeister,kraftfahrzeug industriemeister,99.99983
dokumentarin,dokumentar,99.99996399999999
fachangestellte markt,fachangestellte r archiv,99.99999000000001
religionslehrer,religionslehrer katholische religionslehre uni,99.999994
medizinische dokumentationsassistentin,medizinische r dokumentationsassistentin,99.99983999999999
technischer schiffsoffizier,technische r schiffsoffizier,99.99991700000001
