term,term_count,doc_count,rank,frequency
mdb,805,805,1,0.0767251239039268
diplom,618,603,2,0.05890202058711399
a,380,380,3,0.036218070911170415
d,348,347,4,0.03316812809759817
ingenieur,223,223,5,0.021254288982081586
dipl,214,213,6,0.020396492565764392
fh,131,131,7,0.01248570339306138
kaufmann,95,95,8,0.009054517727792604
mdl,82,82,9,0.007815478459778879
rechtsanwalt,72,72,10,0.006862371330537552
angestellter,68,68,11,0.006481128478841022
i,61,61,12,0.005813953488372093
r,61,61,13,0.005813953488372093
geschäftsführer,58,58,14,0.005528021349599695
betriebswirt,56,56,15,0.00533739992375143
lehrer,56,56,16,0.00533739992375143
volkswirt,54,54,17,0.005146778497903164
des,48,47,18,0.004574914220358368
selbständiger,44,44,19,0.0041936713686618375
student,43,43,20,0.004098360655737705
selbst,40,40,21,0.003812428516965307
bundesminister,39,39,22,0.003717117804041174
am,38,38,23,0.0036218070911170418
professor,38,38,24,0.0036218070911170418
ing,36,36,25,0.003431185665268776
landwirt,36,36,26,0.003431185665268776
m,36,36,27,0.003431185665268776
parlamentarischer,34,34,28,0.003240564239420511
richter,34,34,29,0.003240564239420511
ingenieurin,33,33,30,0.0031452535264963784
lehrerin,31,31,31,0.0029546321006481127
selbstständiger,31,31,32,0.0029546321006481127
it,30,30,33,0.0028593213877239803
leiter,30,30,34,0.0028593213877239803
staatssekretär,28,28,35,0.002668699961875715
unternehmer,28,28,36,0.002668699961875715
bürgermeister,27,27,37,0.002573389248951582
jurist,27,27,38,0.002573389248951582
journalist,26,26,39,0.0024780785360274493
referent,26,26,40,0.0024780785360274493
angestellte,25,25,41,0.002382767823103317
grad,24,24,42,0.002287457110179184
fuer,22,22,43,0.0020968356843309188
kauffrau,22,22,44,0.0020968356843309188
mitarbeiter,22,22,45,0.0020968356843309188
mitglied,22,22,46,0.0020968356843309188
berater,21,21,47,0.002001524971406786
diplomingenieur,21,21,48,0.002001524971406786
leitender,21,21,49,0.002001524971406786
pfarrer,21,21,50,0.002001524971406786
theologe,21,21,51,0.002001524971406786
wissenschaftlicher,21,21,52,0.002001524971406786
hochschullehrer,20,20,53,0.0019062142584826535
politikwissenschaftler,20,20,54,0.0019062142584826535
ökonom,20,20,55,0.0019062142584826535
arzt,19,19,56,0.0018109035455585209
bankkaufmann,19,19,57,0.0018109035455585209
hausfrau,19,19,58,0.0018109035455585209
referentin,19,19,59,0.0018109035455585209
technischer,19,19,60,0.0018109035455585209
verwaltungswirt,19,19,61,0.0018109035455585209
wiss,19,19,62,0.0018109035455585209
chemiker,18,18,63,0.001715592832634388
staatsminister,18,18,64,0.001715592832634388
b,17,17,65,0.0016202821197102554
geschäftsführerin,17,17,66,0.0016202821197102554
richterin,17,17,67,0.0016202821197102554
staatssekretaer,17,17,68,0.0016202821197102554
unternehmensberater,17,17,69,0.0016202821197102554
volkswirtin,17,17,70,0.0016202821197102554
agraringenieur,16,16,71,0.0015249714067861228
beamter,16,16,72,0.0015249714067861228
beraterin,16,16,73,0.0015249714067861228
betriebswirtin,16,16,74,0.0015249714067861228
bundesministerin,16,16,75,0.0015249714067861228
oberstudienrat,16,16,76,0.0015249714067861228
staatlich,16,16,77,0.0015249714067861228
staatssekretärin,16,16,78,0.0015249714067861228
studentin,16,16,79,0.0015249714067861228
architekt,15,15,80,0.0014296606938619901
deutschen,15,15,81,0.0014296606938619901
dozent,15,15,82,0.0014296606938619901
journalistin,15,15,83,0.0014296606938619901
physiker,15,15,84,0.0014296606938619901
politologe,15,15,85,0.0014296606938619901
sozialpädagogin,15,15,86,0.0014296606938619901
sozialwissenschaftler,15,15,87,0.0014296606938619901
soziologe,15,15,88,0.0014296606938619901
steuerberater,15,15,89,0.0014296606938619901
direktor,14,14,90,0.0013343499809378575
elektrotechnik,14,14,91,0.0013343499809378575
facharzt,14,14,92,0.0013343499809378575
kfz,14,14,93,0.0013343499809378575
mitarbeiterin,14,14,94,0.0013343499809378575
pädagoge,14,13,95,0.0013343499809378575
pädagogin,14,14,96,0.0013343499809378575
sozialarbeiter,14,14,97,0.0013343499809378575
studienrat,14,14,98,0.0013343499809378575
wirtschaftsingenieur,14,14,99,0.0013343499809378575
assistentin,13,13,100,0.0012390392680137247
edv,13,13,101,0.0012390392680137247
geschaeftsfuehrer,13,13,102,0.0012390392680137247
juristin,13,13,103,0.0012390392680137247
landgericht,13,13,104,0.0012390392680137247
meister,13,13,105,0.0012390392680137247
sozialpädagoge,13,13,106,0.0012390392680137247
soziologin,13,13,107,0.0012390392680137247
biologe,12,12,108,0.001143728555089592
geprüfter,12,12,109,0.001143728555089592
informatiker,12,12,110,0.001143728555089592
maschinenbau,12,12,111,0.001143728555089592
studiendirektor,12,12,112,0.001143728555089592
technische,12,12,113,0.001143728555089592
univ,12,12,114,0.001143728555089592
bundestages,11,11,115,0.0010484178421654594
krankenschwester,11,11,116,0.0010484178421654594
mathematiker,11,11,117,0.0010484178421654594
mda,11,11,118,0.0010484178421654594
psychologe,11,11,119,0.0010484178421654594
rechtsanwältin,11,11,120,0.0010484178421654594
sozialarbeiterin,11,11,121,0.0010484178421654594
verwaltungswirtin,11,11,122,0.0010484178421654594
vorsitzender,11,11,123,0.0010484178421654594
werkzeugmacher,11,11,124,0.0010484178421654594
winzer,11,11,125,0.0010484178421654594
elektroingenieur,10,10,126,9.531071292413268e-4
historiker,10,10,127,9.531071292413268e-4
kaufmännischer,10,10,128,9.531071292413268e-4
notar,10,10,129,9.531071292413268e-4
parl,10,10,130,9.531071292413268e-4
politikwissenschaftlerin,10,10,131,9.531071292413268e-4
politologin,10,10,132,9.531071292413268e-4
pr,10,10,133,9.531071292413268e-4
sc,10,10,134,9.531071292413268e-4
staatl,10,10,135,9.531071292413268e-4
universitätsprofessor,10,10,136,9.531071292413268e-4
ökonomin,10,10,137,9.531071292413268e-4
bauwesen,9,9,138,8.57796416317194e-4
freier,9,9,139,8.57796416317194e-4
generalsekretär,9,9,140,8.57796416317194e-4
landrat,9,9,141,8.57796416317194e-4
maurer,9,9,142,8.57796416317194e-4
mechaniker,9,9,143,8.57796416317194e-4
oberstudiendirektor,9,9,144,8.57796416317194e-4
redakteur,9,9,145,8.57796416317194e-4
redakteurin,9,9,146,8.57796416317194e-4
schulleiter,9,9,147,8.57796416317194e-4
stellvertretender,9,9,148,8.57796416317194e-4
techniker,9,9,149,8.57796416317194e-4
versicherungskaufmann,9,9,150,8.57796416317194e-4
übersetzerin,9,9,151,8.57796416317194e-4
abteilungsleiter,8,8,152,7.624857033930614e-4
architektin,8,8,153,7.624857033930614e-4
bauingenieur,8,8,154,7.624857033930614e-4
chemie,8,8,155,7.624857033930614e-4
chemikerin,8,8,156,7.624857033930614e-4
dezernent,8,8,157,7.624857033930614e-4
erster,8,8,158,7.624857033930614e-4
gewerkschaftssekretär,8,8,159,7.624857033930614e-4
handelslehrer,8,8,160,7.624857033930614e-4
historikerin,8,8,161,7.624857033930614e-4
ihk,8,8,162,7.624857033930614e-4
informatikerin,8,8,163,7.624857033930614e-4
kaufmännische,8,8,164,7.624857033930614e-4
kinder,8,8,165,7.624857033930614e-4
landwirtschaftsmeister,8,8,166,7.624857033930614e-4
müllermeister,8,8,167,7.624857033930614e-4
