occupation,has_domain,domain,clean_title
universitaetsprofessor mdb,FALSE,NA,universitaetsprofessor mdb
rechtsanwalt,FALSE,NA,rechtsanwalt
apothekerin,FALSE,NA,apothekerin
diplom ingenieur,FALSE,NA,diplom ingenieur
rechtsanwalt diplom volkswirt,FALSE,NA,rechtsanwalt diplom volkswirt
ministerialdirigent a d,FALSE,NA,ministerialdirigent a d
dozent,FALSE,NA,dozent
ingenieur,FALSE,NA,ingenieur
architekt,FALSE,NA,architekt
mdb dgb kreisvorsitzender,FALSE,NA,mdb dgb kreisvorsitzender
lehrer,FALSE,NA,lehrer
kaufmann,FALSE,NA,kaufmann
leitender landesgeschaeftsfuehrer,FALSE,NA,leitender landesgeschaeftsfuehrer
bundesminister verteidigung,FALSE,NA,bundesminister verteidigung
rechtsanwalt mdb,FALSE,NA,rechtsanwalt mdb
werkzeugmacher,FALSE,NA,werkzeugmacher
doktorand,FALSE,NA,doktorand
student,FALSE,NA,student
buergermeister,FALSE,NA,buergermeister
oberwerkmeister,FALSE,NA,oberwerkmeister
major bundeswehr,FALSE,NA,major bundeswehr
hauptamtlicher beigeordneter,FALSE,NA,hauptamtlicher beigeordneter
bundesgeschaeftsfuehrer,FALSE,NA,bundesgeschaeftsfuehrer
bundesbahnamtmann,FALSE,NA,bundesbahnamtmann
arzt mdb,FALSE,NA,arzt mdb
beamter,FALSE,NA,beamter
realschulkonrektor,FALSE,NA,realschulkonrektor
professor,FALSE,NA,professor
bundesinnenminister,FALSE,NA,bundesinnenminister
landwirt,FALSE,NA,landwirt
facharzt,FALSE,NA,facharzt
elektroingenieur a d,FALSE,NA,elektroingenieur a d
oberstudienrat,FALSE,NA,oberstudienrat
korrektor,FALSE,NA,korrektor
soziologe geschaeftsfuehrer,FALSE,NA,soziologe geschaeftsfuehrer
reallehrerin,FALSE,NA,reallehrerin
rentner,FALSE,NA,rentner
soldat,FALSE,NA,soldat
oberstudienraetin a d,FALSE,NA,oberstudienraetin a d
realschullehrer,FALSE,NA,realschullehrer
richter a d,FALSE,NA,richter a d
parlamentsrat,FALSE,NA,parlamentsrat
krankenschwester hebamme,FALSE,NA,krankenschwester hebamme
steuerberater,FALSE,NA,steuerberater
oberregierungsrat,FALSE,NA,oberregierungsrat
heizungsmonteur,FALSE,NA,heizungsmonteur
postbeamter,FALSE,NA,postbeamter
agraringenieur,FALSE,NA,agraringenieur
prokurist,FALSE,NA,prokurist
vertriebsleiter,FALSE,NA,vertriebsleiter
hochschullehrer,FALSE,NA,hochschullehrer
bronzegiesser,FALSE,NA,bronzegiesser
bildhauer hochschullehrer,FALSE,NA,bildhauer hochschullehrer
arzt i r,FALSE,NA,arzt i r
redakteur mdb,FALSE,NA,redakteur mdb
industriekaufmann,FALSE,NA,industriekaufmann
diplomkaufmann mdb,FALSE,NA,diplomkaufmann mdb
lehrbeauftragter,FALSE,NA,lehrbeauftragter
selbstaendiger kaufmann,FALSE,NA,selbstaendiger kaufmann
pastor,FALSE,NA,pastor
diplom volkswirt,FALSE,NA,diplom volkswirt
