occupation,original_occupation,matched_kldb_code,matched_kldb_title,original_matched_kldb_title,similarity_score
buch drucker meister,buchdruckermeister,23493,buch drucker meister,buchdruckermeister,1.0000017
wasser installateur,wasserinstallateur,34212,wasser installateur,wasserinstallateur,1.0000014
steuer fachangestellte,steuerfachangestellte,72302,steuer fachangestellte,steuerfachangestellte r,1.0000013
konditor meister,konditormeister,29293,konditor meister,konditormeister,1.0000012
maschine schlosser,maschinenschlosser,25102,maschine schlosser,maschinenschlosser,1.0000011
redakt uri,redakteurin,92413,redakt uri,redakteurin,1.0000011
mitarbeit,mitarbeiter forschung,61123,mitarbeit,mitarbeiter außendienst,1.0000011
dozentin,dozentin,84404,dozentin,dozentin erwachsenenbildung,1.0000011
schreinerin,schreinerin,22342,schreinerin,schreinerin,1.0000011
stadt kammer,stadtkämmerer a d,73284,stadt kammer,stadtkämmerer kämmerin,1.0000011
export sachbearbeiterin,exportsachbearbeiterin,61212,export sachbearbeiterin,exportsachbearbeiterin,1.0000011
fach bereich leiter,fachbereichsleiter,84184,fach bereich leiter,fachbereichsleiter gesamtschulen,1.000001
sicherheit berater,sicherheitsberater,53152,sicherheit berater,sicherheitsberater detektei,1.000001
gemeinde helfer,gemeindehelfer kinder und jugendfragen,83322,gemeinde helfer,gemeindehelfer,1.000001
physik,physiker,41404,physik,physiker,1.000001
parkettleger meister,parkettlegermeister,33193,parkettleger meister,parkettlegermeister,1.000001
key,key account managerin,92133,key,key accounter,1.000001
patentanwalt,patentanwalt,73134,patentanwalt,patentanwalt anwältin,1.000001
dtp fachkraft,dtp fachkraft,23212,dtp fachkraft,dtp fachkraft,1.000001
wirt schaft journalist,wirtschaftsjournalist,92414,wirt schaft journalist,wirtschaftsjournalist,1.0000008
sprachmittlerin,sprachmittlerin,71423,sprachmittlerin,sprachmittlerin,1.0000008
immobilie makler,immobilienmakler,61313,immobilie makler,immobilienmakler,1.0000008
lager arbeit,lagerarbeiter,51311,lager arbeit,lagerarbeiter,1.0000008
drucker,drucker,23412,drucker,drucker,1.0000008
scha ust eller,schausteller,94342,scha ust eller,schausteller,1.0000008
abteilung steiger,abteilungssteiger,21193,abteilung steiger,abteilungssteiger,1.0000008
werk zeug konstrukteur,werkzeugkonstrukteur,27223,werk zeug konstrukteur,werkzeugkonstrukteur,1.0000008
berater,berater,61123,berater,berater außendienst,1.0000008
sozi hera,soziotherapeut,81634,sozi hera,soziotherapeut,1.0000008
haus arzt,hausarzt,81404,haus arzt,hausarzt ärztin,1.0000008
mechanik meister,mechanikermeister,25193,mechanik meister,mechanikermeister,1.0000008
interviewerin,interviewerin,91341,interviewerin,interviewerin,1.0000008
taxi fahrer,taxifahrer,52112,taxi fahrer,taxifahrer,1.0000008
str ahle schutz,strahlenschutz assistentin,42333,str ahle schutz,strahlenschützer,1.0000008
pfleger,pfleger,83124,pfleger,pfleger pflegerin sozialarbeiter,1.0000008
beraterin,beraterin,61123,beraterin,beraterin außendienst,1.0000008
landtagsabgeordnete,landtagsabgeordnete,71214,landtagsabgeordnete,landtagsabgeordnete r,1.0000008
therapeut,therapeut,81713,therapeut,therapeut bobath,1.0000007
verbands direktor,verbandsdirektor,71224,verbands direktor,verbandsdirektor,1.0000007
zahn arzt helferin,zahnarzthelferin,81112,zahn arzt helferin,zahnarzthelferin,1.0000007
sport manager,sportmanager,63124,sport manager,sportmanager ökonom,1.0000007
automobilverkäufer,automobilverkäufer,62272,automobilverkäufer,automobilverkäufer,1.0000007
integrat ion helfer,integrationshelfer,83131,integrat ion helfer,integrationshelfer,1.0000007
abgeordnetenassistentin,abgeordnetenassistentin,71402,abgeordnetenassistentin,abgeordnetenassistentin,1.0000007
agrotechnik,agrotechnikerin,11102,agrotechnik,agrotechniker mechanisator,1.0000007
umwelt schutz technik,umweltschutztechniker,42203,umwelt schutz technik,umweltschutz und verfahrenstechniker,1.0000007
privatlehrer,privatlehrer,84184,privatlehrer,privatlehrer,1.0000007
bio statistik,biostatistiker,41114,bio statistik,biostatistiker,1.0000007
stein metz,steinmetz,21232,stein metz,steinmetz,1.0000007
fregatte kapitän,fregattenkapitän,01104,fregatte kapitän,fregattenkapitän,1.0000007
bank direktor,bankdirektor,72194,bank direktor,bankdirektor,1.0000007
notar,notar,73124,notar,notar,1.0000007
bildung beau,bildungsbeauftragter,71524,bildung beau,bildungsbeauftragte r,1.0000007
werk stoff prüfer,werkstoffprüfer,41422,werk stoff prüfer,werkstoffprüfer,1.0000007
luft sicherheit assistent,luftsicherheitsassistent,53112,luft sicherheit assistent,luftsicherheitsassistent,1.0000007
historikerin,historikerin,91224,historikerin,historikerin,1.0000007
fach,fachschuldozent,28132,fach,facher,1.0000007
richter,richter a d,73154,richter,richter,1.0000007
pastoralreferentin,pastoralreferentin,83314,pastoralreferentin,pastoralreferentin,1.0000007
teilezurichter,teilezurichter,24202,teilezurichter,teilezurichter,1.0000007
dv koordina tor,dv koordinator,43323,dv koordina tor,dv koordinator,1.0000007
wirt schaft ing uri,wirtschaftsingenieurin,27304,wirt schaft ing uri,wirtschaftsingenieurin,1.0000007
verwaltung jurist,verwaltungsjurist,73184,verwaltung jurist,verwaltungsjurist,1.0000006
